Title,Published,Author,Project_desc,Video
"Git: Difference between “add -A”, “add -u”, “add .”, and “add *”","October 12, 2015",Corey Schafer,"The “git add” command is fundamental to using Git. It is how we add files to the staging area to be committed. But which files get added? Well, that is up to us. In this video, we will look at the different options for using the add command and how we can use it to add the exact files we would like to the staging area.",https://www.youtube.com/watch?v=tcd4txbTtAY
Programming Terms: Combinations and Permutations,"October 12, 2015",Corey Schafer,"In this programming terms video, we will be going over the difference between combinations and permutations. Combinations are groups of values where order does not matter. Permutations are groups of values where order does matter. Let’s take a look at some examples as to when we would use one over the other.",https://www.youtube.com/watch?v=QI9EczPQzPQ
Chrome Quick Tip: Quickly Bookmark Open Tabs for Later Viewing,"August 31, 2015",Corey Schafer,"I often run into a problem where I have a lot of articles open in different tabs that I would like to read at a later time. I already have my Chrome set up to open specific tabs when I first open the browser and I don’t want to overwrite those, so what other option do I have? Well, it is very quick and easy to bookmark all of your open tabs and save them to a dated folder that you can then delete once you no longer need it. I’ll show you how to do this is this video. Let’s get started:",https://www.youtube.com/watch?v=tsiSg_beudo
Python: Comprehensions – How they work and why you should be using them,"August 24, 2015",Corey Schafer,"Python comprehensions are a very natural and easy way to create lists, dicts, and sets. They are also a great alternative to using maps and filters within python. If you are using maps, filters, or for loops to create your lists, then most likely you could and should be using comprehensions instead.",https://www.youtube.com/watch?v=3dt4OGnU5sM
Python: Generators – How to use them and the benefits you receive,"August 18, 2015",Corey Schafer,"Python Generators are often considered a somewhat advanced topic, but they are actually very easy to understand once you start using them on a regular basis. Actually, after you use generators for some time, you will often find them more readable and performant than other options.",https://www.youtube.com/watch?v=bD05uGo_sVI
Quickest and Easiest Way to Run a Local Web-Server,"August 18, 2015",Corey Schafer,"Running a local web-server to test a simple website is usually way harder than it has to be. In this video, we will look at a quick and simple way to run a local web-server without needing to download or configure anything. All you need is python (If you are on Mac or Linux, this is likely already installed). We will be using python’s SimpleHTTPServer. It’s literally as simple as navigating to your website folder and running the server. Let’s get started.",https://www.youtube.com/watch?v=lE6Y6M9xPLw
Git for Beginners: Command-Line Fundamentals,"August 18, 2015",Corey Schafer,"Git is the most popular version control system out there and for good reason. In this video, we’ll go over the basics of what git is and how to use it within the command-line. There are several GUI tools out there to help you get started with git, but it can be extremely beneficial to learn git from the command-line as early as possible. Let’s get started.",https://www.youtube.com/watch?v=HVsySz-h9r4
Time-Saving Keyboard Shortcuts for the Mac Terminal,"August 18, 2015",Corey Schafer,"A big hurdle a lot of people face when learning to use the terminal is the fact that it feels slow compared to navigating around in Finder or other GUIs. Using the terminal doesn’t have to feel slow. Once you learn a few keyboard shortcuts, it can greatly increase the speed at which you can navigate and run commands within the command line.",https://www.youtube.com/watch?v=TXzrk3b9sKM
Overview of Online Learning Resources in 2015,"August 18, 2015",Corey Schafer,"There’s a vast amount of websites and resources online where you can go to learn about programming, web development, web design, software engineering, or anything else you could want. A lot of these online resources are either free or cost very little money. Let me show you some of my favorites so that you can begin learning or refreshing your knowledge on a wide variety of topics.",https://www.youtube.com/watch?v=QGy6M8HZSC4
Python: Else Clauses on Loops,"August 17, 2015",Corey Schafer,"What does the ‘else’ clause mean when it comes after a for or while loop? This isn’t obvious at first glance, so let’s take a look at a few examples and clear up any confusion with the Python ‘else’ clause.",https://www.youtube.com/watch?v=Dh-0lAyc3Bc
