Title,Published,Author,Project_desc,Video
Git: Using the Stash Command,"April 29, 2015",Corey Schafer,"In this video, we will take a look at the git stash command. Git stash is extremely useful when you have some changes that you want to save but aren’t ready to make a commit.",https://www.youtube.com/watch?v=KLEDKgMmbBI
"An in-depth look at Python’s package management system, pip","April 16, 2015",Corey Schafer,"In this video, we will take an in-depth look at Python’s package management system, pip. We’ll walk through how to install, uninstall, list, and upgrade packages. We will also dive into how we can output our dependencies and install a list of dependencies.",https://www.youtube.com/watch?v=U2ZN104hIcc
Python: virtualenv and why you should use virtual environments,"April 14, 2015",Corey Schafer,"In this video, we will be looking at virtualenv and why you should be using virtual environments in Python. Virtual Environments in Python allow us to keep project-specific dependencies in a separate place than our global site-packages. This is extremely useful when you have different versions of packages for different projects.",https://www.youtube.com/watch?v=N5vscPTWKOk
Resize Multiple Images Using the Mac Terminal,"April 5, 2015",Corey Schafer,"One problem I run into frequently is needing to resize multiple images at once. To do this manually would take way too much time, especially if you have a lot of images.",https://www.youtube.com/watch?v=HVMOBKRNEbc
Resize Multiple Images Using Picasa,"April 5, 2015",Corey Schafer,"One problem I run into frequently is needing to resize multiple images at once. To do this manually would take way too much time, especially if you have a lot of images.",https://www.youtube.com/watch?v=43eOoHpUW44
"How to quickly create favicons for the desktop, Apple/Android devices, tablets, and more","April 5, 2015",Corey Schafer,"In this video, We will walk through the process of quickly creating favicons for your website or brand that look great almost any device using realfavicongenerator.net",https://www.youtube.com/watch?v=LOFQH4fVAQY
Sublime Text Quick Tip: “Go To Definition” Click Shortcut,"April 5, 2015",Corey Schafer,"In this Sublime Text Quick Tip, we’re going to see how we connect a mouse shortcut to the “Go To Definition” command.",https://www.youtube.com/watch?v=DwTV5ogPdlU
Python: if __name__ == ‘__main__’,"April 5, 2015",Corey Schafer,"In this video, we will take a look at a common conditional statement in Python:
if __name__ == ‘__main__’:",https://www.youtube.com/watch?v=sugvnHA7ElY
"JavaScript Arrays: Properties, Methods, and Manipulation","April 5, 2015",Corey Schafer,"In this series, we will take an in-depth look at JavaScript Arrays, their properties, their methods, ways we can manipulate their values, and much more.",https://www.youtube.com/watch?v=8JgU2WmrZXI
CSS Tips and Tricks: Add External URLs to Print Stylesheets,"January 2, 2015",Corey Schafer,"Printing out URLs can be a nice edition to print stylesheets. When someone prints your article or blog post, you want them to know where your links would have taken them so that they can investigate those sources further if they desire.",https://www.youtube.com/watch?v=jF-OQ-BrIAM
