Title,Published,Author,Project_desc,Video
Linux/Mac Terminal Tutorial: How To Use The rsync Command – Sync Files Locally and Remotely,"October 10, 2017",Corey Schafer,"In this Linux/Mac terminal tutorial, we will be learning how to use the rsync command. The rsync command will allow you to sync file and directories on your local machine or even over a network between servers. This is a great tool for running backups, for only copying diffs, or even for deploying segments of code. Let’s get started…",https://www.youtube.com/watch?v=qE77MbDnljA
Regular Expressions (Regex) Tutorial: How to Match Any Pattern of Text,"October 10, 2017",Corey Schafer,"In this regular expressions (regex) tutorial, we’re going to be learning how to match patterns of text. Regular expressions are extremely useful for matching common patterns of text such as email addresses, phone numbers, URLs, etc. Almost every programming language has a regular expression library, so learning regular expressions with not only help you with finding patterns in your text editors, but also you’ll be able to use these programming libraries to search for patterns programmatically as well. Let’s get started…",https://www.youtube.com/watch?v=sa-TUpSx1JA
5 Essential Skills Every Well-Rounded Programmer Should Know,"September 19, 2017",Corey Schafer,"In this video, we will be looking at 5 skills that you can learn on top of your main programming language to make you a well-rounded programmer. These skills will make you more marketable when looking for a job, and can sometimes be the deciding factor when choosing between candidates.",https://www.youtube.com/watch?v=TtIJEQ6D9DE
"Python Tutorial: How I Manage Multiple Projects, Virtual Environments, and Environment Variables","September 6, 2017",Corey Schafer,"In this Python Programming Tutorial, I will be showing how I personally manage multiple projects, virtual environments, and environment variables. If you have ever worked on multiple projects, you probably know that it can be a hassle to keep all of your dependencies and project information separate. The strategy I have adopted over the years allows me to easily separate out my environments in such a way that they can be easily exported, activated, and also automatically activate the correct environment variables. Let’s get started…",https://www.youtube.com/watch?v=cY2NXB_Tqq0
Python Tutorial: Generate Random Numbers and Data Using the random Module,"September 6, 2017",Corey Schafer,"In this Python Programming Tutorial, we will be learning how to generate random numbers and choose random data from lists using the random module. I personally use the random module pretty often in my tutorials to generate random data. This can also be used be games, simulations, and plenty of other useful tasks. Let’s get started…",https://www.youtube.com/watch?v=KzqSDvzOFNA
Linux/Mac Tutorial: Cron Jobs – How to Schedule Commands with crontab,"August 23, 2017",Corey Schafer,"In this Linux/Mac terminal tutorial, we will be learning about cron jobs and how to schedule commands with crontab. The will allow you to run commands on a repetitive schedule. So if you want to run a job daily, weekly, or at a certain time of day, this video will show you how you can get this set up. This helps a ton with system administration type of tasks and can automate a lot of work. Let’s get started.",https://www.youtube.com/watch?v=QZJ1drMQz1A
Python Tutorial: Unit Testing Your Code with the unittest Module,"August 16, 2017",Corey Schafer,"In this Python Programming Tutorial, we will be learning how to unit-test our code using the unittest module. Unit testing will allow you to be more comfortable with refactoring and knowing whether or not your updates broke any of your existing code. Unit testing is a must on any large projects and is used by all major companies. Not only that, but it will greatly improve your personal code as well. Let’s get started.",https://www.youtube.com/watch?v=6tNS--WetLI
"Python Tutorial: CSV Module – How to Read, Parse, and Write CSV Files","August 9, 2017",Corey Schafer,"In this Python Programming Tutorial, we will be learning how to work with csv files using the csv module. We will learn how to read, parse, and write to csv files. CSV stands for “Comma-Separated Values”. It is a common format for storing information. Knowing how to read, parse, and write this information to files will open the door to working with a lot of data throughout the world. Let’s get started.",https://www.youtube.com/watch?v=q5uM4VKywbA
Linux/Mac Tutorial: SSH Key-Based Authentication – How to SSH Without a Password,"August 9, 2017",Corey Schafer,"In this Linux/Mac terminal tutorial, we will be learning how to configure ssh keys so that we can login to our servers without a password. Not only is this more convenient, but it is also more secure. This also allows us to write automated scripts to talk to our servers without the need of putting in passwords constantly. Let’s get started.",https://www.youtube.com/watch?v=vpk_1gldOAE
Python Tutorial: Real World Example – Parsing Names From a CSV to an HTML List,"July 26, 2017",Corey Schafer,"In this Python Programming Tutorial, we’ll be learning how to parse a CSV file and output the data to an HTML unordered list. This is a real world problem I ran into with my website. The list was becoming too large for me to maintain manually, so writing a Python script to automate this process saved me a lot of time in the future. Let’s get started.",https://www.youtube.com/watch?v=bkpLhQd6YQM
