Title,Published,Author,Project_desc,Video
SQL for Beginners: SELECT – Retrieving Records from Your Database,"November 3, 2015",Corey Schafer,"In this video we will continue learning SQL Basics by retrieving records from our database using the SELECT statement. Once we learn how to use the SELECT statement, we will learn how to filter records that match a certain criteria with the WHERE Clause. Lastly, we will learn how to sort our results using the ORDER BY statement. Let’s get started:",https://www.youtube.com/watch?v=-FPVPcq28r4
Git: Fixing Common Mistakes and Undoing Bad Commits,"November 3, 2015",Corey Schafer,"In this video we will look at some common mistakes in Git and how we can fix these mistakes. Specifically we will cover how to discard changes since your last commit, amending commits, cherry-picking hashes, resetting to a specific commit, and reverting to a specific commit. Let’s get started:",https://www.youtube.com/watch?v=FdZecVxzJbk
Setting up a Python Development Environment in Eclipse,"November 3, 2015",Corey Schafer,"In this video, we will be setting up a Python development environment in Eclipse using the PyDev plugin. If you’ve watched my videos before, you have likely noticed I use the Sublime Text text editor for the tutorials. I use this for videos because it is very clean and easy to use without all the bells and whistles of a full blown IDE. But there are times when an IDE is extremely useful. For example, if you need to debug your application, an IDE is likely what you would like to use.",https://www.youtube.com/watch?v=NDFbXIiqT4o
Using the New Split Screen Feature in OS X El Capitan,"November 3, 2015",Corey Schafer,"I use split screen functionality a lot. As a programmer, I often have multiple windows open at the same time and need to see information from them simultaneously. For a long time I had to rely on third-party software to use split screen functionality on the Mac. With Mac’s latest release of OS X El Capitan, we now how native split screen functionality.",https://www.youtube.com/watch?v=mvki0jCnJIk
Ex Machina Easter Egg – Hidden Message within Movie’s Python Code,"November 3, 2015",Corey Schafer,"Sometimes when you’re watching a movie, you’ll see a flash of computer code pop up onto the screen. A lot of the time this is just gibberish. But sometimes there are hidden messages.",https://www.youtube.com/watch?v=mJokZMWnyGY
Terminal Basics: Navigating your Filesystem,"November 3, 2015",Corey Schafer,The Terminal can be an intimidating place for people who are just beginning to learn how to use it. There is a fear that you will type the wrong command and somehow mess everything up.,https://www.youtube.com/watch?v=j6vKLJxAKfw
SQL for Beginners: INSERT – Adding Records to Your Table,"October 13, 2015",Corey Schafer,"In this video we will continue learning SQL Basics by inserting records into our table. We will learn the INSERT syntax, a couple of different ways we can add these records, and also what happens if we try to add incorrect values. Let’s get started.",https://www.youtube.com/watch?v=fA0jpjwi4J8
SQL for Beginners: Creating Your First Table,"October 13, 2015",Corey Schafer,In this video we will continue learning SQL Basics by creating our first table. We will go over the syntax for creating tables and also some datatypes we can use for our table’s fields. Let’s get started.,https://www.youtube.com/watch?v=w4HEVY_GjqY
SQL for Beginners: Installing PostgreSQL and Creating Your First Database,"October 13, 2015",Corey Schafer,"In this video we will begin learning SQL Basics. To get started writing SQL, we need to first set up a server and a database. The server we will be using for these tutorials is Postgres. We’ll walk through how to download, install, and setup PostgreSQL. Then we will create our first database so that we can begin writing SQL code. Let’s get started.",https://www.youtube.com/watch?v=xaWlS9HtWYw
Preparing for a Python Interview: 10 Things You Should Know,"October 12, 2015",Corey Schafer,The interview process can be very intimidating. There seems to be so much material to study and it may be difficult even knowing where to start.,https://www.youtube.com/watch?v=DEwgZNC-KyE
