Title,Published,Author,Project_desc,Video
Make an American Girl Doll Bed,"August 9, 2014",Corey Schafer,,https://www.youtube.com/watch?v=-tsFnoKNtNc
"Sublime Text 2: Setup, Package Control, and Settings","July 22, 2014",Corey Schafer,Here we’ll do a quick walkthrough on setting up a development environment using Sublime Text 2.,https://www.youtube.com/watch?v=uOMk8MlE_v4
Using Font Awesome in Desktop Applications (OS X),"July 15, 2014",Corey Schafer,"A Quick walkthrough on how you can download and use the Font Awesome icon font in your Mac desktop applications such as Photoshop, GIMP, Illustrator, Pages, and more.",https://www.youtube.com/watch?v=OlpVKUpraao
Build a Platform Bed Frame,"May 20, 2014",Corey Schafer,,https://www.youtube.com/watch?v=OlpVKUpraao
Make a Raised Dog Feeder,"May 18, 2014",Corey Schafer,,https://www.youtube.com/watch?v=OlpVKUpraao
Prevent Picasa from Scanning Folders,"May 16, 2014",Corey Schafer,I love using Picasa for viewing and editing my photos. What I don’t love is that it automatically scans and imports tons of unwanted photos by default. This creates a ton of clutter and makes it difficult for me to find the actual photos I want to work with. Fortunately it is easy to prevent Picasa from scanning folders.,https://www.youtube.com/watch?v=OlpVKUpraao
How to Build a Paver Patio,"May 1, 2014",Corey Schafer,,https://www.youtube.com/watch?v=OlpVKUpraao
Quick Tip: Use a Wooden Pallet as a Lumber Rack,"April 21, 2014",Corey Schafer,"Making a lumber rack for the workshop is a task I’ve been putting off for a long time now. As I was cleaning up my shop the other day, I decided I needed to come up with a temporary solution for the pile of lumber on my floor. I’ve had an old wooden pallet in the corner of my shop for some time, so I decided to start loading what I could onto that. It was surprisingly more spacious and sturdy than I had first anticipated.",https://www.youtube.com/watch?v=OlpVKUpraao
How to Record Sound From Your Computer’s Speakers (Windows),"March 2, 2014",Corey Schafer,"At times, you may want to record sound from your computer’s speakers. The best way to do this is to use the audio output from your speakers as your input device in the recording software of your choice. You do not need a mic or any special equipment to do this. Just follow these instructions:",https://www.youtube.com/watch?v=OlpVKUpraao
Ems and Rems for Sizing,"September 21, 2013",Corey Schafer,Ems and Rems both are scalable units in CSS which are relative to a base font-size in pixels. So what’s the difference between the two?,https://www.youtube.com/watch?v=OlpVKUpraao
